,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
NVDA,0.08858488500118256,0.12517596781253815,0.5173526406288147,0.08809709548950195,0.1814671903848648,0.17466670274734497,0.279344767332077,0.5655651092529297,0.7974610924720764,0.18383550643920898,0.42795631289482117,0.3436027467250824,0.3177008032798767,0.27914711833000183,0.3764779567718506,0.48879724740982056,0.8145135641098022,2.6288397312164307,4.784170150756836,3.3136351108551025,5.782494068145752,13.10961627960205,29.53044319152832,14.600197792053223,49.4971809387207,137.46005249023438
MSFT,35.99320602416992,13.272730827331543,20.7681941986084,16.1414794921875,16.991168975830078,18.468690872192383,18.268064498901367,21.161602020263672,25.945810317993164,14.148714065551758,23.180831909179688,21.28656005859375,20.369121551513672,21.42121124267578,30.996902465820312,40.155094146728516,49.397926330566406,56.00810623168945,78.82056427001953,94.10539245605469,149.90879821777344,213.10885620117188,328.9347229003906,234.6584014892578,371.2091369628906,422.50836181640625
AAPL,0.7528480887413025,0.2232745736837387,0.33667582273483276,0.21119152009487152,0.31941401958465576,0.9726520776748657,2.158146619796753,2.546907663345337,5.99891996383667,2.5904364585876465,6.353456020355225,9.716310501098633,12.158146858215332,15.43380355834961,17.216493606567383,24.968931198120117,24.220783233642578,26.720701217651367,39.67069625854492,37.17308807373047,70.40592956542969,130.29623413085938,174.70777893066406,128.123046875,190.91363525390625,251.307861328125
GOOGL,,,,,,4.911072731018066,10.31076717376709,11.44459056854248,17.460405349731445,7.533376216888428,15.477087020874023,14.883831977844238,16.05294418334961,17.397775650024414,27.574081420898438,26.580669403076172,39.244327545166016,39.35109329223633,52.3092155456543,51.975521087646484,66.52665710449219,86.21784973144531,145.1990509033203,87.62564086914062,138.73313903808594,190.61854553222656
AMZN,3.953125,0.778124988079071,0.5450000166893005,0.9624999761581421,2.6414999961853027,2.248500108718872,2.3575000762939453,1.9730000495910645,4.722499847412109,2.5380001068115234,6.82450008392334,9.137499809265137,8.654999732971191,12.258999824523926,19.668500900268555,15.515000343322754,34.45349884033203,37.493499755859375,58.4734992980957,73.9010009765625,92.34449768066406,164.29249572753906,168.64450073242188,84.0,151.94000244140625,221.3000030517578
META,,,,,,,,,,,,,,25.768630981445312,53.416954040527344,78.78776550292969,105.64044189453125,114.42227935791016,175.49720764160156,132.4732208251953,203.29469299316406,270.3866271972656,342.4810791015625,119.68340301513672,352.02874755859375,590.26025390625
AVGO,,,,,,,,,,,1.2506675720214844,2.0472195148468018,2.071354866027832,2.2749576568603516,3.933263063430786,7.645397663116455,11.306652069091797,13.769579887390137,20.40460205078125,21.086273193359375,27.0651912689209,39.25962448120117,61.83138656616211,53.653175354003906,109.55134582519531,234.31777954101562
TSLA,,,,,,,,,,,,1.7666670083999634,1.9040000438690186,2.2146670818328857,10.162667274475098,14.815333366394043,15.87266731262207,14.246000289916992,20.75666618347168,22.257999420166016,27.64666748046875,231.5933380126953,356.7799987792969,123.18000030517578,248.47999572753906,417.4100036621094
BRK-B,34.20000076293945,47.08000183105469,49.540000915527344,48.400001525878906,56.29999923706055,59.119998931884766,58.709999084472656,73.31999969482422,93.69999694824219,61.119998931884766,65.79000091552734,79.4000015258789,76.30000305175781,88.55000305175781,118.04000091552734,152.08999633789062,133.25999450683594,162.97999572753906,198.22000122070312,202.0800018310547,225.75999450683594,229.64999389648438,299.9800109863281,308.8999938964844,356.6600036621094,452.1600036621094
WMT,14.452749252319336,11.37590217590332,12.566143989562988,10.96391773223877,11.503954887390137,11.674240112304688,10.424723625183105,10.438552856445312,11.075786590576172,12.90269660949707,13.00355339050293,13.246394157409668,15.041291236877441,17.436748504638672,20.77699089050293,23.507625579833984,17.170957565307617,19.800928115844727,29.020374298095703,27.717538833618164,36.6492919921875,44.99418258666992,45.389488220214844,45.658607482910156,51.54009246826172,89.89415740966797
